doc_id,category,subcategory,risk_level,confidence,citation,explanation
doc_014,E,pollution,critique,1.0,"Parallèlement, les rejets de métaux lourds dans la rivière voisine ont dépassé les seuils légaux en ...","Les rejets illégaux de métaux lourds dans une rivière sont un impact environnemental majeur et non géré, ce qui indique "
doc_015,G,"conseil_administration, remuneration",élevé,0.95,"Le PDG cumule les fonctions de Président du Conseil d'Administration depuis 12 ans, en violation des...",La violation des recommandations du Code AFEP-MEDEF sur la séparation des fonctions du PDG et du Président du Conseil d'
doc_015,G,transparence,élevé,0.9,Deux administrateurs indépendants ont démissionné en protestant contre le manque de transparence sur...,Le manque de transparence sur les transactions avec des parties liées est un risque de gouvernance élevé.
doc_015,G,rémunération,élevé,0.85,Sa rémunération a augmenté de 43% alors que les bénéfices chutaient de 18%.,L'augmentation de la rémunération du PDG alors que les bénéfices chutent est un risque de gouvernance élevé.
doc_016,E,emissions_carbone,eleve,0.9,"L'entreprise a émis 2,3 millions de tonnes de CO2 équivalent en 2024, soit une augmentation de 15% p...","La mention ESG concerne les émissions de carbone de l'entreprise qui ont augmenté de 15%, ce qui représente un niveau de"
doc_016,G,transparence,modere,0.8,Aucun plan de réduction n'a été présenté aux actionnaires.,"La mention ESG concerne la transparence envers les actionnaires, car aucun plan de réduction des émissions de carbone n'"
doc_016,E,transition_energies,eleve,0.9,Les installations de production continuent d'utiliser principalement des combustibles fossiles (87% ...,"La mention ESG concerne la transition vers les énergies renouvelables, car l'entreprise continue d'utiliser principaleme"
doc_017,E,emissions_carbone,eleve,0.9,"L'entreprise a émis 2,3 millions de tonnes de CO2 équivalent en 2024, soit une augmentation de 15% p...","La mention ESG concerne les émissions de CO2, qui sont un indicateur important de l'impact environnemental. L'augmentati"
doc_017,E,transition_energies,eleve,0.9,Les installations de production continuent d'utiliser principalement des combustibles fossiles (87% ...,"La mention ESG concerne la transition vers les énergies renouvelables, qui est un indicateur important de l'impact envir"
doc_017,G,transparence,critique,0.9,Aucun plan de réduction n'a été présenté aux actionnaires.,"La mention ESG concerne la transparence, qui est un indicateur important de la gouvernance. L'absence de plan de réducti"
doc_018,E,energie,faible,0.95,La société a investi 45 millions d'euros dans des panneaux solaires couvrant désormais 23% de ses be...,L'investissement dans les panneaux solaires permet à la société de réduire ses émissions de CO2 et d'utiliser plus d'éne
doc_018,E,emissions_carbone,modere,0.85,Des émissions de méthane ont toutefois été détectées sur le site de Toulouse.,Les émissions de méthane peuvent avoir un impact notable sur l'environnement et la santé humaine. Bien que l'enquête int
doc_019,S,conditions_travail,critique,1.0,Des enfants de moins de 15 ans ont été identifiés parmi les employés.,Cette mention est ESG car elle concerne des conditions de travail dangereuses pour la catégorie S. Le niveau de risque e
